"c[5]","n"
"00000",897
"00001",197
"00010",1322
"00011",336
"01000",573
"01001",209
"01010",670
"01011",245
"10000",186
"10001",326
"10010",250
"10011",355
"11000",340
"11001",705
"11010",592
"11011",983
